AÑO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA.
2019,7,A Coruña,América,Argentina,491,4075,8.3
2019,7,Albacete,América,Argentina,36,230,6.4
2019,7,Alicante/Alacant,América,Argentina,874,7254,8.3
2019,7,Almería,América,Argentina,188,1692,9
2019,7,Araba/Álava,América,Argentina,39,300,7.7
2019,7,Asturias,América,Argentina,239,1840,7.7
2019,7,Badajoz,América,Argentina,30,198,6.6
2019,7,Barcelona,América,Argentina,9639,55906,5.8
2019,7,Bizkaia,América,Argentina,175,1225,7
2019,7,Burgos,América,Argentina,54,275,5.1
2019,7,Cantabria,América,Argentina,99,713,7.2
2019,7,Castellón/Castelló,América,Argentina,125,850,6.8
2019,7,Cáceres,América,Argentina,35,273,7.8
2019,7,Cádiz,América,Argentina,306,2203,7.2
2019,7,Córdoba,América,Argentina,66,482,7.3
2019,7,Gipuzkoa,América,Argentina,366,2672,7.3
2019,7,Girona,América,Argentina,664,4582,6.9
2019,7,Granada,América,Argentina,293,2051,7
2019,7,Guadalajara,América,Argentina,58,348,6
2019,7,Huelva,América,Argentina,39,328,8.4
2019,7,Huesca,América,Argentina,59,354,6
2019,7,Illes Balears,América,Argentina,3866,29768,7.7
2019,7,La Rioja,América,Argentina,43,288,6.7
2019,7,Las Palmas,América,Argentina,237,1612,6.8
2019,7,León,América,Argentina,72,576,8
2019,7,Lleida,América,Argentina,79,537,6.8
2019,7,Lugo,América,Argentina,95,713,7.5
2019,7,Madrid,América,Argentina,12154,57124,4.7
2019,7,Murcia,América,Argentina,147,1264,8.6
2019,7,Málaga,América,Argentina,1412,11437,8.1
2019,7,Navarra,América,Argentina,153,1102,7.2
2019,7,Ourense,América,Argentina,69,600,8.7
2019,7,Pontevedra,América,Argentina,267,2243,8.4
2019,7,Salamanca,América,Argentina,90,675,7.5
2019,7,Santa Cruz de Tenerife,América,Argentina,177,1487,8.4
2019,7,Segovia,América,Argentina,70,392,5.6
2019,7,Sevilla,América,Argentina,324,2300,7.1
2019,7,Tarragona,América,Argentina,410,3198,7.8
2019,7,Toledo,América,Argentina,170,748,4.4
2019,7,Total Nacional,América,Argentina,34780,211712,6.1
2019,7,Valencia/València,América,Argentina,707,5373,7.6
2019,7,Valladolid,América,Argentina,58,406,7
2019,7,Zaragoza,América,Argentina,101,828,8.2
2019,7,Ávila,América,Argentina,35,235,6.7
2019,8,A Coruña,América,Argentina,607,6070,10
2019,8,Alicante/Alacant,América,Argentina,1088,12186,11.2
2019,8,Almería,América,Argentina,203,2355,11.6
2019,8,Araba/Álava,América,Argentina,49,475,9.7
2019,8,Asturias,América,Argentina,315,3024,9.6
2019,8,Badajoz,América,Argentina,45,356,7.9
2019,8,Barcelona,América,Argentina,10372,71567,6.9
2019,8,Bizkaia,América,Argentina,249,2166,8.7
2019,8,Burgos,América,Argentina,58,458,7.9
2019,8,Cantabria,América,Argentina,133,1051,7.9
2019,8,Castellón/Castelló,América,Argentina,168,1478,8.8
2019,8,Cuenca,América,Argentina,39,179,4.6
2019,8,Cáceres,América,Argentina,85,740,8.7
2019,8,Cádiz,América,Argentina,409,3845,9.4
2019,8,Córdoba,América,Argentina,77,578,7.5
2019,8,Gipuzkoa,América,Argentina,437,3409,7.8
2019,8,Girona,América,Argentina,727,5816,8
2019,8,Granada,América,Argentina,321,2600,8.1
2019,8,Guadalajara,América,Argentina,65,358,5.5
2019,8,Huelva,América,Argentina,80,656,8.2
2019,8,Huesca,América,Argentina,79,608,7.7
2019,8,Illes Balears,América,Argentina,4373,38482,8.8
2019,8,La Rioja,América,Argentina,60,624,10.4
2019,8,Las Palmas,América,Argentina,347,3088,8.9
2019,8,León,América,Argentina,98,1058,10.8
2019,8,Lleida,América,Argentina,118,1015,8.6
2019,8,Lugo,América,Argentina,114,1140,10
2019,8,Madrid,América,Argentina,12178,65761,5.4
2019,8,Murcia,América,Argentina,173,1782,10.3
2019,8,Málaga,América,Argentina,1793,16675,9.3
2019,8,Navarra,América,Argentina,133,1383,10.4
2019,8,Ourense,América,Argentina,97,1086,11.2
2019,8,Pontevedra,América,Argentina,468,5148,11
2019,8,Salamanca,América,Argentina,97,669,6.9
2019,8,Santa Cruz de Tenerife,América,Argentina,200,2040,10.2
2019,8,Segovia,América,Argentina,70,441,6.3
2019,8,Sevilla,América,Argentina,335,2546,7.6
2019,8,Tarragona,América,Argentina,415,3818,9.2
2019,8,Toledo,América,Argentina,206,989,4.8
2019,8,Total Nacional,América,Argentina,38089,277874,7.3
2019,8,Valencia/València,América,Argentina,835,7098,8.5
2019,8,Valladolid,América,Argentina,55,451,8.2
2019,8,Zamora,América,Argentina,32,253,7.9
2019,8,Zaragoza,América,Argentina,112,1008,9
2019,8,Ávila,América,Argentina,40,320,8
2019,9,A Coruña,América,Argentina,555,4773,8.6
2019,9,Albacete,América,Argentina,38,289,7.6
2019,9,Alicante/Alacant,América,Argentina,648,6286,9.7
2019,9,Almería,América,Argentina,144,1670,11.6
2019,9,Araba/Álava,América,Argentina,44,440,10
2019,9,Asturias,América,Argentina,238,2166,9.1
2019,9,Badajoz,América,Argentina,48,408,8.5
2019,9,Barcelona,América,Argentina,9325,68073,7.3
2019,9,Bizkaia,América,Argentina,242,1863,7.7
2019,9,Burgos,América,Argentina,64,467,7.3
2019,9,Cantabria,América,Argentina,157,1429,9.1
2019,9,Castellón/Castelló,América,Argentina,122,1025,8.4
2019,9,Ciudad Real,América,Argentina,32,240,7.5
2019,9,Cáceres,América,Argentina,42,357,8.5
2019,9,Cádiz,América,Argentina,397,3573,9
2019,9,Córdoba,América,Argentina,121,762,6.3
2019,9,Gipuzkoa,América,Argentina,395,3121,7.9
2019,9,Girona,América,Argentina,524,3982,7.6
2019,9,Granada,América,Argentina,391,2893,7.4
2019,9,Guadalajara,América,Argentina,94,432,4.6
2019,9,Huelva,América,Argentina,66,680,10.3
2019,9,Huesca,América,Argentina,48,389,8.1
2019,9,Illes Balears,América,Argentina,3030,26664,8.8
2019,9,La Rioja,América,Argentina,65,553,8.5
2019,9,Las Palmas,América,Argentina,283,2123,7.5
2019,9,León,América,Argentina,82,787,9.6
2019,9,Lleida,América,Argentina,83,623,7.5
2019,9,Lugo,América,Argentina,119,1047,8.8
2019,9,Madrid,América,Argentina,12806,67872,5.3
2019,9,Murcia,América,Argentina,104,926,8.9
2019,9,Málaga,América,Argentina,1586,14591,9.2
2019,9,Navarra,América,Argentina,138,1049,7.6
2019,9,Ourense,América,Argentina,68,660,9.7
2019,9,Pontevedra,América,Argentina,303,3182,10.5
2019,9,Salamanca,América,Argentina,100,720,7.2
2019,9,Santa Cruz de Tenerife,América,Argentina,393,3576,9.1
2019,9,Segovia,América,Argentina,69,283,4.1
2019,9,Sevilla,América,Argentina,538,3927,7.3
2019,9,Tarragona,América,Argentina,352,2816,8
2019,9,Toledo,América,Argentina,196,921,4.7
2019,9,Total Nacional,América,Argentina,34971,245517,7
2019,9,Valencia/València,América,Argentina,603,5548,9.2
2019,9,Valladolid,América,Argentina,54,421,7.8
2019,9,Zaragoza,América,Argentina,105,788,7.5
2019,10,A Coruña,América,Argentina,332,3187,9.6
2019,10,Alicante/Alacant,América,Argentina,530,5353,10.1
2019,10,Almería,América,Argentina,119,1416,11.9
2019,10,Araba/Álava,América,Argentina,31,295,9.5
2019,10,Asturias,América,Argentina,200,1800,9
2019,10,Badajoz,América,Argentina,54,535,9.9
2019,10,Barcelona,América,Argentina,7978,54250,6.8
2019,10,Bizkaia,América,Argentina,226,1605,7.1
2019,10,Burgos,América,Argentina,47,362,7.7
2019,10,Cantabria,América,Argentina,98,1049,10.7
2019,10,Castellón/Castelló,América,Argentina,123,1156,9.4
2019,10,Cuenca,América,Argentina,38,285,7.5
2019,10,Cáceres,América,Argentina,37,244,6.6
2019,10,Cádiz,América,Argentina,351,3440,9.8
2019,10,Córdoba,América,Argentina,106,922,8.7
2019,10,Gipuzkoa,América,Argentina,316,2844,9
2019,10,Girona,América,Argentina,310,2697,8.7
2019,10,Granada,América,Argentina,366,2965,8.1
2019,10,Guadalajara,América,Argentina,48,307,6.4
2019,10,Huelva,América,Argentina,75,848,11.3
2019,10,Huesca,América,Argentina,33,307,9.3
2019,10,Illes Balears,América,Argentina,1420,13632,9.6
2019,10,La Rioja,América,Argentina,70,644,9.2
2019,10,Las Palmas,América,Argentina,240,2112,8.8
2019,10,León,América,Argentina,53,514,9.7
2019,10,Lleida,América,Argentina,74,466,6.3
2019,10,Lugo,América,Argentina,62,459,7.4
2019,10,Madrid,América,Argentina,12471,76073,6.1
2019,10,Murcia,América,Argentina,104,1071,10.3
2019,10,Málaga,América,Argentina,1272,12974,10.2
2019,10,Navarra,América,Argentina,105,924,8.8
2019,10,Ourense,América,Argentina,54,680,12.6
2019,10,Pontevedra,América,Argentina,357,3749,10.5
2019,10,Salamanca,América,Argentina,103,814,7.9
2019,10,Santa Cruz de Tenerife,América,Argentina,233,2400,10.3
2019,10,Segovia,América,Argentina,35,238,6.8
2019,10,Sevilla,América,Argentina,505,4596,9.1
2019,10,Tarragona,América,Argentina,266,2341,8.8
2019,10,Toledo,América,Argentina,160,816,5.1
2019,10,Total Nacional,América,Argentina,29873,218077,7.3
2019,10,Valencia/València,América,Argentina,557,5124,9.2
2019,10,Valladolid,América,Argentina,38,243,6.4
2019,10,Zaragoza,América,Argentina,112,1064,9.5
2019,11,A Coruña,América,Argentina,151,1721,11.4
2019,11,Alicante/Alacant,América,Argentina,357,3749,10.5
2019,11,Almería,América,Argentina,87,974,11.2
2019,11,Asturias,América,Argentina,93,1014,10.9
2019,11,Barcelona,América,Argentina,5292,37044,7
2019,11,Bizkaia,América,Argentina,102,1122,11
2019,11,Cantabria,América,Argentina,34,384,11.3
2019,11,Castellón/Castelló,América,Argentina,70,455,6.5
2019,11,Cádiz,América,Argentina,205,1722,8.4
2019,11,Córdoba,América,Argentina,43,447,10.4
2019,11,Gipuzkoa,América,Argentina,107,1102,10.3
2019,11,Girona,América,Argentina,194,1765,9.1
2019,11,Granada,América,Argentina,196,1686,8.6
2019,11,Guadalajara,América,Argentina,45,315,7
2019,11,Illes Balears,América,Argentina,518,5853,11.3
2019,11,La Rioja,América,Argentina,33,314,9.5
2019,11,Las Palmas,América,Argentina,201,2030,10.1
2019,11,León,América,Argentina,38,300,7.9
2019,11,Lleida,América,Argentina,56,448,8
2019,11,Lugo,América,Argentina,32,339,10.6
2019,11,Madrid,América,Argentina,7816,46896,6
2019,11,Murcia,América,Argentina,80,880,11
2019,11,Málaga,América,Argentina,749,7865,10.5
2019,11,Navarra,América,Argentina,54,464,8.6
2019,11,Pontevedra,América,Argentina,130,1690,13
2019,11,Salamanca,América,Argentina,49,417,8.5
2019,11,Santa Cruz de Tenerife,América,Argentina,118,1180,10
2019,11,Sevilla,América,Argentina,312,3214,10.3
2019,11,Tarragona,América,Argentina,176,1742,9.9
2019,11,Toledo,América,Argentina,102,632,6.2
2019,11,Total Nacional,América,Argentina,18275,135324,7.4
2019,11,Valencia/València,América,Argentina,388,3880,10
2019,11,Valladolid,América,Argentina,33,432,13.1
2019,11,Zaragoza,América,Argentina,91,810,8.9
2019,12,A Coruña,América,Argentina,129,1355,10.5
2019,12,Alicante/Alacant,América,Argentina,313,3287,10.5
2019,12,Almería,América,Argentina,75,833,11.1
2019,12,Asturias,América,Argentina,86,783,9.1
2019,12,Barcelona,América,Argentina,4195,28107,6.7
2019,12,Bizkaia,América,Argentina,71,675,9.5
2019,12,Cantabria,América,Argentina,34,337,9.9
2019,12,Castellón/Castelló,América,Argentina,58,539,9.3
2019,12,Cádiz,América,Argentina,96,778,8.1
2019,12,Córdoba,América,Argentina,40,308,7.7
2019,12,Gipuzkoa,América,Argentina,93,660,7.1
2019,12,Girona,América,Argentina,107,1049,9.8
2019,12,Granada,América,Argentina,125,1113,8.9
2019,12,Guadalajara,América,Argentina,36,270,7.5
2019,12,Illes Balears,América,Argentina,348,3550,10.2
2019,12,La Rioja,América,Argentina,34,221,6.5
2019,12,Las Palmas,América,Argentina,187,1646,8.8
2019,12,Lleida,América,Argentina,75,653,8.7
2019,12,Madrid,América,Argentina,6206,28548,4.6
2019,12,Murcia,América,Argentina,75,878,11.7
2019,12,Málaga,América,Argentina,575,5693,9.9
2019,12,Navarra,América,Argentina,33,330,10
2019,12,Pontevedra,América,Argentina,101,869,8.6
2019,12,Santa Cruz de Tenerife,América,Argentina,138,1449,10.5
2019,12,Segovia,América,Argentina,34,139,4.1
2019,12,Sevilla,América,Argentina,167,1453,8.7
2019,12,Tarragona,América,Argentina,144,1267,8.8
2019,12,Toledo,América,Argentina,80,432,5.4
2019,12,Total Nacional,América,Argentina,14458,94717,6.6
